id,activity
0,walking
1,lying
2,on all fours
3,sitting on the ground
4,lying
5,lying
6,sitting
7,lying
8,walking
9,lying
10,lying
11,lying
12,walking
13,walking
14,lying
15,standing up from sitting on the ground
16,sitting on the ground
17,sitting
18,standing up from lying
19,lying
20,standing up from lying
21,lying
22,walking
23,walking
24,walking
25,lying
26,walking
27,walking
28,lying
29,sitting on the ground
30,lying
31,standing up from lying
32,lying
33,sitting on the ground
34,standing up from lying
35,lying
36,lying
37,sitting on the ground
38,sitting down
39,lying
40,sitting
41,sitting on the ground
42,sitting on the ground
43,walking
44,walking
45,sitting
46,walking
47,walking
48,sitting
49,lying
50,sitting
51,lying
52,sitting
53,walking
54,lying
55,lying
56,lying
57,lying
58,lying
59,lying
60,sitting
61,standing up from lying
62,sitting on the ground
63,walking
64,sitting
65,lying
66,on all fours
67,sitting
68,lying
69,standing up from lying
70,lying
71,lying
72,standing up from lying
73,sitting on the ground
74,walking
75,lying
76,lying
77,lying
78,standing up from lying
79,lying
80,on all fours
81,walking
82,lying
83,lying
84,sitting on the ground
85,lying
86,walking
87,lying
88,lying
89,sitting
90,sitting on the ground
91,sitting on the ground
92,walking
93,sitting
94,lying
95,lying
96,lying down
97,walking
98,walking
99,sitting
100,sitting
101,walking
102,standing up from lying
103,walking
104,standing up from lying
105,standing up from lying
106,lying
107,sitting
108,lying
109,lying
110,standing up from lying
111,walking
112,lying
113,sitting on the ground
114,lying
115,walking
116,walking
117,walking
118,lying
119,lying
120,sitting on the ground
121,lying
122,walking
123,walking
124,lying
125,lying
126,standing up from lying
127,walking
128,standing up from lying
129,lying
130,lying
131,on all fours
132,sitting
133,lying
134,walking
135,sitting
136,sitting
137,on all fours
138,walking
139,walking
140,lying
141,lying down
142,lying
143,sitting
144,sitting
145,lying
146,standing up from lying
147,walking
148,sitting on the ground
149,sitting
150,lying
151,lying
152,lying
153,walking
154,lying
155,walking
156,lying
157,lying
158,lying
159,lying
160,walking
161,sitting on the ground
162,walking
163,lying
164,sitting
165,sitting on the ground
166,standing up from lying
167,standing up from lying
168,lying
169,on all fours
170,lying
171,walking
172,sitting
173,sitting
174,sitting
175,walking
176,lying
177,lying down
178,standing up from sitting on the ground
179,walking
180,standing up from lying
181,walking
182,lying
183,on all fours
184,falling
185,lying
186,lying
187,sitting on the ground
188,sitting
189,lying
190,lying
191,walking
192,lying
193,lying
194,sitting on the ground
195,walking
196,walking
197,lying
198,walking
199,lying
200,lying
201,sitting
202,walking
203,lying
204,on all fours
205,standing up from lying
206,lying
207,walking
208,lying
209,sitting
210,walking
211,lying
212,walking
213,lying
214,sitting on the ground
215,walking
216,walking
217,walking
218,sitting
219,lying
220,lying
221,standing up from lying
222,standing up from lying
223,sitting
224,lying
225,standing up from lying
226,standing up from sitting
227,walking
228,lying
229,lying down
230,walking
231,walking
232,lying
233,walking
234,standing up from lying
235,standing up from lying
236,lying
237,walking
238,on all fours
239,walking
240,lying
241,sitting on the ground
242,sitting on the ground
243,falling
244,sitting on the ground
245,sitting
246,sitting
247,standing up from lying
248,lying
249,walking
250,lying
251,lying
252,sitting on the ground
253,sitting
254,standing up from sitting on the ground
255,lying
256,lying down
257,sitting
258,sitting on the ground
259,lying
260,sitting
261,lying
262,sitting
263,walking
264,sitting on the ground
265,sitting on the ground
266,lying
267,lying
268,sitting on the ground
269,lying
