index,title,institute,tag,description,
0,การเตรียมสอบประกาศนียบัตร MOS : MS Word 2013 | MOS Certificate : MS Word 2013,วิทยาลัยเทคโนโลยีภาคใต้,['คอมพิวเตอร์และเทคโนโลยี'],,
1,อาหารสุขภาพสำหรับผู้สูงอายุ | Healthy food for Aging,มหาวิทยาลัยนเรศวร,['สุขภาพและการแพทย์'],แนวคิดอาหารสุขภาพในการดูแลผู้สูงอายุตามกลุ่มของผู้สูงอายุทั้งกลุ่มผู้สูงอายุสุขภาพดี ผู้สูงอายุที่มีโรคประจำตัว และผู้สูงอายุติดเตียง,
2,อาชีวอนามัยและความปลอดภัย | Occupational Health and Safety,มหาวิทยาลัยวลัยลักษณ์,['สุขภาพและการแพทย์'],,
3,โปรแกรม LaTeX สำหรับเอกสารทางวิชาการ | LaTeX program for academic documents,มหาวิทยาลัยนเรศวร,['คณิตศาสตร์และวิทยาศาสตร์'],"<p>เพื่อเรียนรู้การใช้งานโปรแกรม LaTeX สำหรับการผลิตสื่อการเรียนการสอน เขียนบทความทางวิชาการ งานวิจัย และ
สื่อสิ่งพิมพ์ต่าง ๆ เพื่อพัฒนาทักษะ และศักยภายในการเรียน การสอน และการทำวิจัย ให้แก่นิสิต อาจารย์ผู้ที่สนใจ
ทั่วไป</p>",
4,ความร่วมมือในการรักษาด้วยยา | Medication adherence,มหาวิทยาลัยนเรศวร,['สุขภาพและการแพทย์'],หลักการของความร่วมมือในการรักษาด้วยยา เภสัชระบาดวิทยาของความไม่ร่วมมือในการรักษาด้วยยา ผลกระทบและปัจจัยที่มีผลต่อความไม่ร่วมมือในการรักษาด้วยยา การวิเคราะห์ความร่วมมือในการใช้ยาเชิงคุณภาพ การติดตามและกลวิธีการส่งเสริมความร่วมมือของผู้ป่วยในการรักษาด้วยยา,
5,การพูด การแสดงทางวิทยุกระจายเสียงอย่างมืออาชีพ | Radio Performance,มหาวิทยาลัยสุโขทัยธรรมาธิราช,['ทักษะชีวิตและการพัฒนาตนเอง'],หลักและเทคนิคการพูดและการแสดงสำหรับงานวิทยุกระจายเสียง เป็นการบูรณาการความรู้ทั้งด้านศาสตร์และศิลป์ เพื่อให้ผู้ฟังได้ทราบข่าวสาร ความรู้ ความบันเทิง ทำให้เกิดการเปลี่ยนแปลงทัศนคติและพฤติกรรม เนื่องจากการพูดและการแสดงมีผลด้านบวกและด้านลบต่อผู้ฟัง ผู้ที่ต้องการเป็นนักพูดทางวิทยุกระจายเสียงอย่างมืออาชีพ จึงควรเข้าใจหลักการเทคนิค รวมทั้งทักษะในการฝึกฝนเพื่อสามารถนำวิชานี้ไปประกอบวิชาชีพได้อย่างเหมาะสม และเป็นประโยชน์ต่อสังคม,
6,ภาษาจีนเพื่อการสื่อสาร | Chinese for Communication,มหาวิทยาลัยราชภัฏนครปฐม,['ภาษาและการสื่อสาร'],,
7,ฉลาดด้วยข้อมูล ใครๆ ก็ทำได้ (คลังข้อมูลและการทำเหมืองข้อมูล) | Data warehouse and Data Mining,มหาวิทยาลัยรังสิต,['คอมพิวเตอร์และเทคโนโลยี'],วิชานี้มุ่งเน้นสอนการวิเคราะห์ข้อมูลทางธุรกิจบนโครงสร้างข้อมูลที่ออกแบบพิเศษ โดยใช้ศาสตร์ใหม่ อาทิเช่น คลังข้อมูล เหมืองข้อมูล ที่จะสามารถตอบโจทย์ทางธุรกิจ และการนำไปใช้งานในชีวิตจริงได้ดีกว่า ฐานข้อมูลทั่วไป อาทิเช่น การ ค้นหากฎของความสัมพันธ์ระหว่างข้อมูล การจำแนกประเภทข้อมูลและการทำนาย การจัดกลุ่มข้อมูล การทำเหมืองข้อมูลที่มีความซับซ้อน การ ประยุกต์ ใช้เหมืองข้อมูล,
8,จริยธรรมการใช้เทคโนโลยีสารสนเทศ | Ethics for Using Information Technology,มหาวิทยาลัยรามคำแหง,['คอมพิวเตอร์และเทคโนโลยี'],ผู้เรียนจะได้รับความรู้ความเข้าใจและสามารถปฏิบัติตนในการใช้เทคโนโลยีสารสนเทศและการสื่อสารตามกฎ ระเบียบ กติกา มารยาทและข้อบังคับของสังคมและองค์กร ตระหนักและเห็นคุณค่าในการใช้เทคโนโลยีสารสนเทศและการสื่อสารอย่างมีจริยธรรมและมีความรับผิดชอบ สามารถวิเคราะห์พฤติกรรมจากกรณีศึกษาต่างๆ ที่เกี่ยวข้องกับการกระทำผิดจริยธรรมที่พึงต้องระมัดระวังในการใช้เทคโนโลยีสารสนเทศและการสื่อสาร,
9,ทักษะนักข่าวในยุคดิจิทัล | Journalists' survival guide in Digital age,สมาคมนักข่าววิทยุและโทรทัศน์ไทย,['ภาษาและการสื่อสาร'],“ทักษะนักข่าวในยุคดิจิทัล” เป็น “หลักสูตรการอบรมเพื่อพัฒนาศักยภาพกำลังคนด้านสื่อปลอดภัยและสร้างสรรค์โครงการวิจัยการพัฒนาศักยภาพกำลังคนด้านสื่อและภาควิชาการ” มุ่งหวังพัฒนาศักยภาพคนทำงานด้านสื่อในภาควิชาชีพและภาควิชาการ ในการเพิ่มพูนความรู้ ความเข้าใจ ทักษะและมุมมองความคิด เพื่อนำไปสู่เป้าหมายในการยกระดับความรู้ ความสามารถ ทักษะ ประสบการณ์ และมุมมอง ความคิดให้เท่าทันภูมิทัศน์ และระบบนิเวศสื่อที่เปลี่ยนแปลงไปกับเทคโนโลยีในยุคดิจิทัล โดยเนื้อหาของหลักสูตร จำแนกออกเป็น 6 หมวดวิชา ประกอบด้วย 1. การตรวจสอบข้อเท็จจริง (Fact-Checking) 2. ข้อมูล (Data) 3. บริบท (Context) 4. ผู้ชม (Audience) 5.การเล่าเรื่อง (Storytelling) 6. กลยุทธ์และการขาย (Strategy and Selling),
